sample	platform	tool	name	reads_in	reads_removed	reads_removed_percent	reads_retained_percent
GCA_001559115.2	illumina	hostile	Staphylococcus simulans strain FDAARGOS_124 chromosome, complete genome	176504	0	0.0	100.0
GCA_001559135.2	illumina	hostile	Serratia liquefaciens strain FDAARGOS_125 chromosome, complete genome	352316	0	0.0	100.0
GCA_001559175.2	illumina	hostile	Streptococcus pyogenes strain FDAARGOS_149 chromosome, complete genome	122642	0	0.0	100.0
GCA_001559195.2	illumina	hostile	Achromobacter xylosoxidans strain FDAARGOS_150 chromosome, complete genome	417916	0	0.0	100.0
GCA_001559215.2	illumina	hostile	Klebsiella aerogenes strain FDAARGOS_152 chromosome, complete genome	354476	0	0.0	100.0
GCA_001559235.2	illumina	hostile	Citrobacter sp. FDAARGOS_156 strain FDAARGOS_155 chromosome, complete genome	315166	0	0.0	100.0
GCA_001559255.2	illumina	hostile	Hafnia paralvei strain FDAARGOS_158 chromosome, complete genome	300914	0	0.0	100.0
GCA_001593585.2	illumina	hostile	Klebsiella aerogenes strain FDAARGOS_139 chromosome, complete genome	353188	0	0.0	100.0
GCA_002073215.2	illumina	hostile	Moraxella catarrhalis strain FDAARGOS_213 chromosome, complete genome	127200	0	0.0	100.0
GCA_002073235.2	illumina	hostile	Neisseria meningitidis strain FDAARGOS_214 chromosome, complete genome	159830	0	0.0	100.0
GCA_002073255.2	illumina	hostile	Pasteurella multocida strain FDAARGOS_218 chromosome, complete genome	155702	0	0.0	100.0
GCA_002073275.2	illumina	hostile	Neisseria meningitidis strain FDAARGOS_215 chromosome, complete genome	153722	0	0.0	100.0
GCA_002073295.2	illumina	hostile	Pasteurella multocida strain FDAARGOS_216 chromosome, complete genome	153012	0	0.0	100.0
GCA_002073315.2	illumina	hostile	Yersinia sp. FDAARGOS_228 chromosome, complete genome	330870	0	0.0	100.0
GCA_002073335.2	illumina	hostile	Vibrio cholerae strain FDAARGOS_223 chromosome 1, complete sequence	269486	0	0.0	100.0
GCA_002073355.2	illumina	hostile	Streptococcus intermedius strain FDAARGOS_233 chromosome, complete genome	127600	0	0.0	100.0
GCA_002073375.2	illumina	hostile	Corynebacterium diphtheriae strain FDAARGOS_197 chromosome, complete genome	165936	0	0.0	100.0
GCA_002073395.2	illumina	hostile	Staphylococcus lugdunensis strain FDAARGOS_222 chromosome, complete genome	169354	0	0.0	100.0
GCA_002073415.2	illumina	hostile	Bacillus sp. FDAARGOS_235 chromosome, complete genome	373892	0	0.0	100.0
GCA_002073435.2	illumina	hostile	Streptococcus gordonii strain FDAARGOS_257 chromosome, complete genome	148180	0	0.0	100.0
GCA_002073455.2	illumina	hostile	Legionella longbeachae strain FDAARGOS_201 chromosome, complete genome	277516	0	0.0	100.0
GCA_002073475.2	illumina	hostile	Haemophilus influenzae strain FDAARGOS_199 chromosome, complete genome	122046	2	0.0016387263818560217	99.99836127361814
GCA_002073495.2	illumina	hostile	Leptospira interrogans serovar Copenhageni strain FDAARGOS_203 chromosome, complete genome	308718	0	0.0	100.0
GCA_002073515.2	illumina	hostile	Streptococcus equinus strain FDAARGOS_251 chromosome, complete genome	154102	0	0.0	100.0
GCA_002073535.2	illumina	hostile	Neisseria gonorrhoeae strain FDAARGOS_204 chromosome, complete genome	147496	0	0.0	100.0
GCA_002073555.2	illumina	hostile	Neisseria meningitidis strain FDAARGOS_211 chromosome, complete genome	153720	0	0.0	100.0
GCA_002073575.2	illumina	hostile	Neisseria meningitidis strain FDAARGOS_209 chromosome, complete genome	145416	0	0.0	100.0
GCA_002073595.2	illumina	hostile	Neisseria meningitidis strain FDAARGOS_210 chromosome, complete genome	151552	0	0.0	100.0
GCA_002073615.2	illumina	hostile	Neisseria gonorrhoeae strain FDAARGOS_205 chromosome, complete genome	151930	4	0.00263279141709998	99.9973672085829
GCA_002073635.2	illumina	hostile	Paracoccus yeei strain FDAARGOS_252 chromosome, complete genome	321974	0	0.0	100.0
GCA_002073655.2	illumina	hostile	Neisseria gonorrhoeae strain FDAARGOS_207 chromosome, complete genome	145954	0	0.0	100.0
GCA_002073675.2	illumina	hostile	Neisseria meningitidis strain FDAARGOS_212 chromosome, complete genome	149660	0	0.0	100.0
GCA_002073695.2	illumina	hostile	Streptococcus agalactiae strain FDAARGOS_254 chromosome, complete genome	147914	0	0.0	100.0
GCA_002073715.2	illumina	hostile	Neisseria mucosa strain FDAARGOS_260 chromosome, complete genome	185596	0	0.0	100.0
GCA_002073735.2	illumina	hostile	Clostridioides difficile strain FDAARGOS_267 chromosome, complete genome	285744	0	0.0	100.0
GCA_002073755.2	illumina	hostile	Citrobacter braakii strain FDAARGOS_253 chromosome, complete genome	349620	0	0.0	100.0
GCA_002073775.2	illumina	hostile	Vibrio parahaemolyticus strain FDAARGOS_191 chromosome 1, complete sequence	344886	0	0.0	100.0
GCA_002073795.2	illumina	hostile	Streptococcus sp. 'group B' strain FDAARGOS_229 chromosome, complete genome	145218	0	0.0	100.0
GCA_002073815.2	illumina	hostile	Streptococcus sp. FDAARGOS_192 chromosome, complete genome	162368	0	0.0	100.0
GCA_002073835.2	illumina	hostile	Streptococcus salivarius strain FDAARGOS_259 chromosome, complete genome	150622	0	0.0	100.0
GCA_002208665.2	illumina	hostile	Haemophilus] ducreyi strain FDAARGOS_297 chromosome, complete genome	113420	0	0.0	100.0
GCA_002208685.2	illumina	hostile	Kocuria rhizophila strain FDAARGOS_302 chromosome, complete genome	179858	0	0.0	100.0
GCA_002208705.2	illumina	hostile	Mycobacterium avium subsp. paratuberculosis strain FDAARGOS_305 chromosome, complete genome	322166	0	0.0	100.0
GCA_002208725.2	illumina	hostile	Prevotella melaninogenica strain FDAARGOS_306 chromosome 1, complete sequence	211214	0	0.0	100.0
GCA_002208745.2	illumina	hostile	Pseudomonas protegens strain FDAARGOS_307 chromosome, complete genome	471722	0	0.0	100.0
GCA_002208765.2	illumina	hostile	Psychrobacter cryohalolentis strain FDAARGOS_308 chromosome, complete genome	207242	0	0.0	100.0
GCA_002208785.2	illumina	hostile	Bacillus anthracis strain FDAARGOS_341 chromosome, complete genome	360696	0	0.0	100.0
GCA_002208805.2	illumina	hostile	Staphylococcus pettenkoferi strain FDAARGOS_288 chromosome, complete genome	166824	0	0.0	100.0
GCA_002208825.2	illumina	hostile	Brevundimonas vesicularis strain FDAARGOS_289 chromosome, complete genome	223036	0	0.0	100.0
GCA_002208845.2	illumina	hostile	Citrobacter braakii strain FDAARGOS_290 chromosome, complete genome	322318	0	0.0	100.0
GCA_002208865.2	illumina	hostile	Escherichia coli O157 strain FDAARGOS_293 chromosome, complete genome	379110	0	0.0	100.0
GCA_002208885.2	illumina	hostile	Stenotrophomonas maltophilia strain FDAARGOS_325 chromosome, complete genome	323434	0	0.0	100.0
GCA_002208905.2	illumina	hostile	Staphylococcus saprophyticus strain FDAARGOS_336 chromosome, complete genome	175718	0	0.0	100.0
GCA_002208925.2	illumina	hostile	Chryseobacterium indologenes strain FDAARGOS_337 chromosome, complete genome	341292	0	0.0	100.0
GCA_002208945.2	illumina	hostile	Enterococcus faecalis strain FDAARGOS_338 chromosome, complete genome	190734	0	0.0	100.0
GCA_002208965.2	illumina	hostile	Salmonella enterica subsp. enterica serovar Typhimurium var. 5- strain FDAARGOS_312 chromosome, complete genome	347590	0	0.0	100.0
GCA_002208985.3	illumina	hostile	Citrobacter koseri strain FDAARGOS_287 chromosome, complete genome	328978	0	0.0	100.0
GCA_002209005.1	illumina	hostile	Campylobacter jejuni strain FDAARGOS_262 chromosome, complete genome	117896	0	0.0	100.0
GCA_002209025.1	illumina	hostile	Campylobacter jejuni strain FDAARGOS_263 chromosome, complete genome	109432	0	0.0	100.0
GCA_002209045.1	illumina	hostile	Campylobacter jejuni strain FDAARGOS_265 chromosome, complete genome	113074	0	0.0	100.0
GCA_002209065.1	illumina	hostile	Campylobacter jejuni strain FDAARGOS_266 chromosome, complete genome	108030	0	0.0	100.0
GCA_002209085.2	illumina	hostile	Burkholderia cepacia strain FDAARGOS_345 chromosome 1, complete sequence	571324	0	0.0	100.0
GCA_002209105.2	illumina	hostile	Escherichia coli O104:H4 strain FDAARGOS_348 chromosome, complete genome	362832	0	0.0	100.0
GCA_002209125.2	illumina	hostile	Nocardia brasiliensis strain FDAARGOS_352 chromosome, complete genome	595700	0	0.0	100.0
GCA_002209145.2	illumina	hostile	Jonesia denitrificans strain FDAARGOS_301 chromosome, complete genome	185920	0	0.0	100.0
GCA_002209165.2	illumina	hostile	Mammaliicoccus sciuri strain FDAARGOS_285 chromosome, complete genome	190256	0	0.0	100.0
GCA_002209185.2	illumina	hostile	Corynebacterium jeikeium strain FDAARGOS_328 chromosome, complete genome	176726	0	0.0	100.0
GCA_002209205.2	illumina	hostile	Salmonella enterica subsp. enterica serovar Hadar strain FDAARGOS_313 chromosome, complete genome	329616	0	0.0	100.0
GCA_002209225.2	illumina	hostile	Salmonella enterica subsp. enterica serovar Typhimurium strain FDAARGOS_321 chromosome, complete genome	334714	0	0.0	100.0
GCA_002209245.2	illumina	hostile	Shewanella sp. FDAARGOS_354 chromosome, complete genome	338000	0	0.0	100.0
GCA_002209265.2	illumina	hostile	Staphylococcus saprophyticus strain FDAARGOS_355 chromosome, complete genome	175946	0	0.0	100.0
GCA_002277995.2	illumina	hostile	Elizabethkingia anophelis strain FDAARGOS_198 chromosome, complete genome	271614	0	0.0	100.0
GCA_002278015.2	illumina	hostile	Enterococcus hirae strain FDAARGOS_234 chromosome, complete genome	189710	0	0.0	100.0
GCA_002386165.1	illumina	hostile	Salmonella enterica subsp. enterica serovar Paratyphi A strain FDAARGOS_368 chromosome, complete genome	305866	0	0.0	100.0
GCA_002386185.1	illumina	hostile	Staphylococcus simulans strain FDAARGOS_383 chromosome, complete genome	191464	0	0.0	100.0
GCA_002386205.1	illumina	hostile	Burkholderia thailandensis strain FDAARGOS_426 chromosome 1, complete sequence	448658	0	0.0	100.0
GCA_002386245.1	illumina	hostile	Staphylococcus aureus strain FDAARGOS_412 chromosome, complete genome	184640	0	0.0	100.0
GCA_002386265.1	illumina	hostile	Weissella paramesenteroides strain FDAARGOS_414 chromosome, complete genome	129860	0	0.0	100.0
GCA_002386285.1	illumina	hostile	Streptococcus gordonii strain FDAARGOS_371 chromosome, complete genome	141420	0	0.0	100.0
GCA_002386305.1	illumina	hostile	Morganella morganii strain FDAARGOS_365 chromosome, complete genome	271714	0	0.0	100.0
GCA_002386325.1	illumina	hostile	Salmonella enterica subsp. enterica serovar Saintpaul strain FDAARGOS_373 chromosome, complete genome	322540	0	0.0	100.0
GCA_002386345.1	illumina	hostile	Streptococcus oralis strain FDAARGOS_367 chromosome, complete genome	136880	0	0.0	100.0
GCA_002386365.1	illumina	hostile	Rothia mucilaginosa strain FDAARGOS_369 chromosome, complete genome	160584	0	0.0	100.0
GCA_002386385.1	illumina	hostile	Citrobacter werkmanii strain FDAARGOS_364 chromosome, complete genome	325674	0	0.0	100.0
GCA_002393245.1	illumina	hostile	Citrobacter koseri strain FDAARGOS_393 chromosome, complete genome	325632	0	0.0	100.0
GCA_002393265.1	illumina	hostile	Enterococcus sp. FDAARGOS_375 chromosome, complete genome	236622	0	0.0	100.0
GCA_002393365.1	illumina	hostile	Escherichia coli strain FDAARGOS_403 chromosome, complete genome	365028	0	0.0	100.0
GCA_002393385.1	illumina	hostile	Pasteurella multocida strain FDAARGOS_384 chromosome, complete genome	156448	0	0.0	100.0
GCA_002393405.1	illumina	hostile	Lelliottia amnigena strain FDAARGOS_395 chromosome, complete genome	297974	0	0.0	100.0
GCA_002393425.1	illumina	hostile	Burkholderia gladioli pv. gladioli strain FDAARGOS_389 chromosome 1, complete sequence	552478	0	0.0	100.0
GCA_002393445.1	illumina	hostile	Cedecea neteri strain FDAARGOS_392 chromosome, complete genome	364620	0	0.0	100.0
GCA_002393465.1	illumina	hostile	Escherichia coli strain FDAARGOS_401 chromosome, complete genome	359158	0	0.0	100.0
GCA_002393485.1	illumina	hostile	Ralstonia pickettii strain FDAARGOS_410 chromosome 1, complete sequence	321204	0	0.0	100.0
GCA_002393505.1	illumina	hostile	Providencia alcalifaciens strain FDAARGOS_408 chromosome, complete genome	266008	0	0.0	100.0
GCA_002407165.1	illumina	hostile	Staphylococcus lugdunensis strain FDAARGOS_377 chromosome, complete genome	171442	0	0.0	100.0
GCA_002407525.3	illumina	hostile	Burkholderia cepacia strain FDAARGOS_388 chromosome 1, complete sequence	571322	0	0.0	100.0
GCA_002587105.1	illumina	hostile	Campylobacter jejuni strain FDAARGOS_422 chromosome, complete genome	112690	0	0.0	100.0
GCA_002587165.1	illumina	hostile	Klebsiella pneumoniae strain FDAARGOS_444 chromosome, complete genome	392066	0	0.0	100.0
GCA_002587225.1	illumina	hostile	Campylobacter jejuni strain FDAARGOS_421 chromosome, complete genome	118520	0	0.0	100.0
GCA_002587885.1	illumina	hostile	Klebsiella pneumoniae strain FDAARGOS_446 chromosome, complete genome	384644	0	0.0	100.0
GCA_002588845.1	illumina	hostile	Serratia fonticola strain FDAARGOS_411 chromosome, complete genome	381692	0	0.0	100.0
GCA_002589795.1	illumina	hostile	Escherichia coli strain FDAARGOS_433 chromosome, complete genome	341458	0	0.0	100.0
GCA_002591075.1	illumina	hostile	Klebsiella pneumoniae strain FDAARGOS_439 chromosome, complete genome	383526	0	0.0	100.0
GCA_002591095.1	illumina	hostile	Yersinia frederiksenii strain FDAARGOS_417 chromosome, complete genome	333378	0	0.0	100.0
GCA_002591115.1	illumina	hostile	Klebsiella aerogenes strain FDAARGOS_363 chromosome, complete genome	349698	0	0.0	100.0
GCA_002591135.1	illumina	hostile	Escherichia coli strain FDAARGOS_448 chromosome, complete genome	363122	6	0.0016523372310132682	99.99834766276899
GCA_002591155.1	illumina	hostile	Proteus vulgaris strain FDAARGOS_366 chromosome, complete genome	264132	0	0.0	100.0
GCA_002591175.1	illumina	hostile	Staphylococcus capitis strain FDAARGOS_378 chromosome, complete genome	165676	0	0.0	100.0
GCA_002591195.1	illumina	hostile	Yersinia frederiksenii strain FDAARGOS_418 chromosome, complete genome	328936	0	0.0	100.0
GCA_002591215.1	illumina	hostile	Staphylococcus lugdunensis strain FDAARGOS_381 chromosome, complete genome	171380	0	0.0	100.0
GCA_002591235.1	illumina	hostile	Pseudomonas sp. FDAARGOS_380 chromosome, complete genome	433290	0	0.0	100.0
GCA_002591255.1	illumina	hostile	Brucella canis strain FDAARGOS_420 chromosome 1, complete sequence	220852	0	0.0	100.0
GCA_002591275.1	illumina	hostile	Chryseobacterium indologenes strain FDAARGOS_379 chromosome, complete genome	325922	0	0.0	100.0
GCA_002591295.1	illumina	hostile	Pasteurella multocida strain FDAARGOS_385 chromosome, complete genome	156448	0	0.0	100.0
GCA_002754815.1	illumina	hostile	Roseomonas sp. FDAARGOS_362 chromosome, complete genome	344946	0	0.0	100.0
GCA_002943995.1	illumina	hostile	Pseudomonas monteilii strain FDAARGOS_171 chromosome, complete genome	393152	0	0.0	100.0
GCA_002944935.1	illumina	hostile	Escherichia coli strain FDAARGOS_144 chromosome, complete genome	334812	0	0.0	100.0
GCA_002944995.1	illumina	hostile	Staphylococcus epidermidis strain FDAARGOS_153 chromosome, complete genome	170132	0	0.0	100.0
GCA_002951115.1	illumina	hostile	Stenotrophomonas maltophilia strain FDAARGOS_92 chromosome, complete genome	321348	0	0.0	100.0
GCA_002951195.1	illumina	hostile	Pandoraea apista strain FDAARGOS_126 chromosome, complete genome	355100	0	0.0	100.0
GCA_002951295.1	illumina	hostile	Acinetobacter nosocomialis strain FDAARGOS_129 chromosome, complete genome	266846	0	0.0	100.0
GCA_002951395.1	illumina	hostile	Elizabethkingia anophelis strain FDAARGOS_132 chromosome, complete genome	266560	0	0.0	100.0
GCA_002951455.1	illumina	hostile	Elizabethkingia anophelis strain FDAARGOS_134 chromosome, complete genome	266560	0	0.0	100.0
GCA_002951475.1	illumina	hostile	Pseudomonas fulva strain FDAARGOS_167 chromosome, complete genome	324340	0	0.0	100.0
GCA_002951635.1	illumina	hostile	Klebsiella pneumoniae strain FDAARGOS_156 chromosome, complete genome	370044	0	0.0	100.0
GCA_002953295.1	illumina	hostile	Klebsiella quasipneumoniae strain FDAARGOS_93 chromosome, complete genome	367536	0	0.0	100.0
GCA_002953335.1	illumina	hostile	Vibrio diabolicus strain FDAARGOS_96 chromosome 1, complete sequence	344910	0	0.0	100.0
GCA_002953355.1	illumina	hostile	Vibrio diabolicus strain FDAARGOS_99 chromosome 1, complete sequence	342120	0	0.0	100.0
GCA_002953375.1	illumina	hostile	Vibrio fluvialis strain FDAARGOS_100 chromosome 1, complete sequence	324504	0	0.0	100.0
GCA_002953395.1	illumina	hostile	Vibrio diabolicus strain FDAARGOS_105 chromosome 1, complete sequence	361742	0	0.0	100.0
GCA_002953515.1	illumina	hostile	Vibrio alginolyticus strain FDAARGOS_108 chromosome 1, complete sequence	363068	0	0.0	100.0
GCA_002953535.1	illumina	hostile	Vibrio alginolyticus strain FDAARGOS_110 chromosome 1, complete sequence	351246	0	0.0	100.0
GCA_002953975.1	illumina	hostile	Vibrio alginolyticus strain FDAARGOS_114 chromosome 1, complete sequence	345218	0	0.0	100.0
GCA_002954055.1	illumina	hostile	Staphylococcus epidermidis strain FDAARGOS_161 chromosome, complete genome	167716	0	0.0	100.0
GCA_002983625.1	illumina	hostile	Yersinia intermedia strain FDAARGOS_358 chromosome, complete genome	330710	0	0.0	100.0
GCA_002983645.1	illumina	hostile	Escherichia coli O104:H4 strain FDAARGOS_349 chromosome, complete genome	366744	0	0.0	100.0
GCA_002983665.1	illumina	hostile	Providencia stuartii strain FDAARGOS_291 chromosome, complete genome	292966	0	0.0	100.0
GCA_002983685.1	illumina	hostile	Streptobacillus moniliformis strain FDAARGOS_310 chromosome, complete genome	112396	0	0.0	100.0
GCA_002983705.1	illumina	hostile	Helicobacter pylori strain FDAARGOS_300 chromosome, complete genome	109716	0	0.0	100.0
GCA_002983725.1	illumina	hostile	Campylobacter jejuni subsp. doylei strain FDAARGOS_295 chromosome, complete genome	123004	0	0.0	100.0
GCA_002983785.1	illumina	hostile	Enterococcus faecium strain FDAARGOS_323 chromosome, complete genome	180694	0	0.0	100.0
GCA_002983865.1	illumina	hostile	Roseobacter denitrificans strain FDAARGOS_309 chromosome, complete genome	287254	0	0.0	100.0
GCA_002983965.1	illumina	hostile	Salmonella enterica subsp. enterica serovar Typhimurium strain FDAARGOS_320 chromosome, complete genome	335804	0	0.0	100.0
GCA_002984035.1	illumina	hostile	Salmonella enterica subsp. enterica serovar Heidelberg strain FDAARGOS_319 chromosome, complete genome	333918	0	0.0	100.0
GCA_002984125.1	illumina	hostile	Moraxella catarrhalis strain FDAARGOS_304 chromosome, complete genome	129466	0	0.0	100.0
GCA_002984195.1	illumina	hostile	Providencia rettgeri strain FDAARGOS_330 chromosome, complete genome	301240	0	0.0	100.0
GCA_002984285.1	illumina	hostile	Salmonella enterica subsp. enterica serovar Typhimurium strain FDAARGOS_317 chromosome, complete genome	346190	0	0.0	100.0
GCA_002984395.1	illumina	hostile	Klebsiella oxytoca strain FDAARGOS_335 chromosome, complete genome	403320	0	0.0	100.0
GCA_002984485.1	illumina	hostile	Oligella urethralis strain FDAARGOS_329 chromosome, complete genome	167422	0	0.0	100.0
